"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping: Tumor → CRTumorEncounter","Mapping: Mapping: Tumor crTopography → Topography Observation","Mapping: Mapping: Tumor crMorphology → Morphology Observation","Mapping: Mapping: Tumor crBehaviour → Behaviour Observation","Mapping: Mapping: Tumor crGrade → Grade Observation","Mapping: Mapping: Tumor crBasisDiagnosis → Basis of Diagnosis Observation","Mapping: Mapping: Tumor crSite → Site Observation","Mapping: Mapping: Tumor crIncidenceDate → Incidence Date Observation","Mapping: Mapping: Tumor crAge → Age at Incidence Observation","Mapping: Mapping: Tumor crAddress → Address Observation","Mapping: Mapping: Tumor crTumorNumber → Tumor Number Observation"
"Tumor.crChecksRareAgeMorphology","Tumor.crChecksRareAgeMorphology","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Age Morphology","CR - Checks: Rare Age Morphology","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#mxfPEKn6kFt
",,,,"Tumor.crChecksRareAgeMorphology",0,1,"",""
"Tumor.crChecksRareAgeTopography","Tumor.crChecksRareAgeTopography","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Age Topography","CR - Checks: Rare Age Topography","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#rPvQffpxaEs
",,,,"Tumor.crChecksRareAgeTopography",0,1,"",""
"Tumor.crChecksRareAgeTopographyMorphology","Tumor.crChecksRareAgeTopographyMorphology","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Age Topography Morphology","CR - Checks: Rare Age Topography Morphology","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#Laax6wSBp2G
",,,,"Tumor.crChecksRareAgeTopographyMorphology",0,1,"",""
"Tumor.crChecksRareBasis","Tumor.crChecksRareBasis","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Basis","CR - Checks: Rare Basis","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#U8v95tUnazC
",,,,"Tumor.crChecksRareBasis",0,1,"",""
"Tumor.crChecksInvalidGrade","Tumor.crChecksInvalidGrade","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Invalid Grade","CR - Checks: Invalid Grade","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#doB0rv08MIc
",,,,"Tumor.crChecksInvalidGrade",0,1,"",""
"Tumor.crChecksRareSexMorphology","Tumor.crChecksRareSexMorphology","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Sex Morphology","CR - Checks: Rare Sex Morphology","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#FH09UKj7HMC
",,,,"Tumor.crChecksRareSexMorphology",0,1,"",""
"Tumor.crChecksInvalidSexTopography","Tumor.crChecksInvalidSexTopography","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Invalid Sex Topography","CR - Checks: Invalid Sex Topography","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#wAmyuRZNNXC
",,,,"Tumor.crChecksInvalidSexTopography",0,1,"",""
"Tumor.crChecksRareTopographyBehaviour","Tumor.crChecksRareTopographyBehaviour","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Topography Behaviour","CR - Checks: Rare Topography Behaviour","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#ugeBdJzYHVW
",,,,"Tumor.crChecksRareTopographyBehaviour",0,1,"",""
"Tumor.crChecksRareTopographyMorphology","Tumor.crChecksRareTopographyMorphology","","","",0,1,"","","","boolean {[]} {[]}
","CR - Checks: Rare Topography Morphology","CR - Checks: Rare Topography Morphology","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#fdvzxz58nEE
",,,,"Tumor.crChecksRareTopographyMorphology",0,1,"",""
"Tumor.crChecksMultiplePrimaryTestResult","Tumor.crChecksMultiplePrimaryTestResult","","","",0,1,"","","","code {[]} {[]}
","CR - Checks: Multiple primary test result","CR - Checks: Multiple primary test result","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMultiplePrimaryTestVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#VBkjlEwG4BE
",,,,"Tumor.crChecksMultiplePrimaryTestResult",0,1,"",""
