"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping: Follow-up to CRFollowUpEncounter","Mapping: Mapping: Follow-up crStatus to Vital Status Observation","Mapping: Mapping: Follow-up crDateOfDeath to Date of Death Observation"
"FollowUp","FollowUp","","","",0,*,"","","","null {[]} {[]}
","Follow up","Follow-up stage of the DHIS2 Cancer Registry tracker program. This repeatable stage records the follow-up status of the registered patient over time, capturing the date of last contact, the vital status, and, in cases where the status is death, the date of death. This stage is not associated with a specific tumor or source.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FollowUp.crDateLastContact","FollowUp.crDateLastContact","","","",0,1,"","","","date {[]} {[]}
","CR - Date last contact","CR - Date last contact","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#Ks2WWWWCuzq
",,,,"FollowUp.crDateLastContact",0,1,"","","Encounter.period.start","Observation.effectiveDateTime"
"FollowUp.crStatus","FollowUp.crStatus","","","",0,1,"","","","code {[]} {[]}
","CR - Status","CR - Status","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRVitalStatusVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#nMpcjKFF5zt
",,,,"FollowUp.crStatus",0,1,"","","Observation.valueCodeableConcept"
"FollowUp.crDateOfDeath","FollowUp.crDateOfDeath","","","",0,1,"","","","date {[]} {[]}
","CR - Date of death","CR - Date of death","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#hCJqPZcw2n6
",,,,"FollowUp.crDateOfDeath",0,1,"","","Observation.valueDateTime"
